content,score
"Saya mau login akun Blibli milik saya trus kirim otp via wa, sudah saya ketik otp nya , eh muncul lagi kirim otp via email. Kok skrg jadi ribet gini buka Akun Blibli saya?. kenapa sekarang di persulit? Jadi saya tidak boleh belanja di Blibli lagi nihh? Nggak masalah sihh? Masih ada Shoppe, Tokopedia & Tik Tok Shop kok. Ini sama aja mempersulit customer nya? Lama2 Blibli akan di tinggal customer nya jika mempersulit seperti ini",1
nyesall beli diblibli tiba tiba barang nya tidak berhasil dikirim kapokk beli disiniiii buat kalian jangan dahhhh,1
bliblicaee dan juga limit paylater knp gk bisa dibuka. gimana cara mbenerinnya....bos....,5
"point nya gk bisa buat beli pulsa, parah",1
tidak bisa login respon mendeteksi aktifits yg tdk bisa akunmu,1
dapat dipercaya dan cepat,5
"If Blibli wants to compete with other online shops, don't use JNE because the delivery is very slow.",1
"Masuk ke akun Blibli skrg, ribet amat ya? kirim otp via wa trus kirim otp via email juga. Astaghfirullah Al Adzim...Blibli ..Blibli knp ribet amat sihh? kalo gini jadi males mau belanja on line di Blibli. Saya punya Akun Shoppe & Tokped juga, tapi kalo login ke akun shoppe/Tokped milik saya tidak seribet Blibli ini. Kalo Blibli masih seperti ini terus, siap2 aja akan ditinggalin customernya. Untuk login aja di bikin ribet customernya. Males saya belanja di Blibli kalo seperti ini!!",1
Bangkrut.,1
aku sadar diri... barang barang orang kaya semua isinya jadi ku unistall... 😄,1
terimakasih 🙏,5
gue suka banget sama Blibli... 😭😍,5
pengiriman lelet tidak ada pengiriman yang di prioritaskan untuk barang mahal! antara barang mahal dan murah pengirimanya sama aja! nunggu numpuk dulu baru di kirim! beda jauh ama toko sebelah klk barang mahal yang di beli otomatis bisa pilih kirim kecepatanya! lha ini atara barang mahal atau ga sama aja lelet banget,2
ongkir paling mahal jatuh ke aplikasi dab expedisi ini,1
"pengiriman nya lamaa banget sampe berhari hari, pelayanann nyaa ga gercep lama banget, customer service nya juga Lola lama bngt bener bener di bikin kecewa banget jangan ada yang pesen di sini deh!!!!",1
Pengembalian dana dalam bentuk voucher cashback tidak dapat ditransfer ke rekening. lama pakai blibli baru ini mengecewakan.,1
"baru pertama kali pakai aplikasi ini, dan baru pertama membeli barang , dari tanggal 21 sampai tanggal 24 status di apk masih di pick kurir, waw sekali saya pesan barang di apk lain di hari yang sama tgl 23 sudah sampai 🙈 ini sampai tanggal 24 status masih sama, padahal jarak kota tujuan dan kota pengirim cuma sebelahan yang harusnya estimasi paling lama 3 hari , ini sampe sekarang tidak ada perubahan status di apk ya , mau chat akun blibli susahnya minta ampun antrean ya panjang sekali",1
mantap,5
"sangat buruk, keterlambatan barangnya melebihi estimasi pengiriman, voucher-nya tidak sesuai janji bilang nya 100 kenyataan 50 saja sangat tidak rekomendasi.",1
"ya barang yang dijual disini semuanya asli, tapi untuk transaksi click & collect kalo toko terdekat stock nggak ada akan tetap seperti pakai jasa pengiriman diluar kota. kalo buka aplikasi juga hape terasa panas sama kayak buka shope. sejauh ini tokped yang stabil",2
sangat memudahkan urusan urusan semua KLW pake aplikasi gopay,5
oke,5
jera aku belanja di apk ini pengalaman pertama belanja aja sungguh buruk. tidak bisa pilih expedisi. pengiriman lewat JNE express hampir 1 bulan padahal saya mengunakan reguler. hubungi cs ga ada solusi tentang pesanan saya. pihak kurir pun gak ada chat saya begitu pula cs blibli tiap kali laporan gak ada hasil. sekarang saya sedang menunggu paket saya tiba. kalau tidak bisa diantar batalkan saja dan kembalikan uang saya. mending di toko oren,1
tei login aja ribet.. udah login pake nomer hp udah masukin kode otp malah nbah lagi email.. mana emailya lupa.. mana gak ada tombol lupa email atau lupa pswrd... jelek banget ni apliksi,1
proses cepat,5
mantul... (mantap betul) 👍👍👍👍👍,5
hmmm nggak bisa cod dn ongkir mahalllllll,1
kenapa saat buat bayar cicilan tagihannya ada yang tidak terupdate ya,1
login eror,1
👍👍👍,5
So far so good.,5
cet costumer gk pernah respon,1
puas bgt,5
"kecewa belanja di BliBli, niatnya mau cepat pakai go instan ternyata malah SANGAT LAMA PROSESnya berbelit2, tiba2 gagal kirim, kurir udh balikin barangnya ke seller dan seller udh terima, namun sistem blibli masih tetap gantung bahwa barang masih dalam proses pengiriman berjam jam dan dimenu pembeli, driver, baik seller juga seakan2 freeze ga bisa diapa2in ga ada menu batalkan dan ga ada menu lanjutkan. ini betul2 kuno skali BLIBLI sumpah kecewa pakai blibli, lebih baik dan lebih cepat TOKOPEDIA",1
cukup bintang yg bicara. apakah layak akun ini untuk direkomendasikan.,1
sangat membantu,5
gak bisa login chat seler malah gak nyambung tanya apa jawab apa dlu sdh pernah dftar pas dwnload lg msukin nmr malah gak bisa akun sdh terhubung lah aneh gak bisa msuk penggabungan akunn !!,1
Ternyata jelek waktu pengembalian dana nya ketika mau order ulang harus nunggu beberapa hari baru limit balik lagi beda dengan aplikasi warna ijo dan oren 😄,2
oke bgt,5
mantul,5
"sesuai dengan gambar, dan gak lemot",5
"Tidak bisa masuk atau daftar di aplikasi, halaman dialihkan ke web, lalu kadang halaman tidak muncul, blank page baik sebelum atau sesudah masukkan kode verifikasi, dan aplikasi ini tidak bisa multi taks, setiap habis di minimize selalu kembali ke halaman awal.. bad app..",1
memudahkan urusan duniawi,5
"pertama kali beli disini, overall desktopnya smooth ga nge lag kayak oren. diskon2nya juga oke banget",5
"kenapa di blibli punya saya , harga edan pada mahal semua , gak kaya di apk sbelah",1
"untuk kode verifikasi bliblipay tolong tampilkan pilihan verifikasi WhatsApp atau wajah, karna nomor telepon sudah tidak aktif",3
gimana ini Kak uang saya 100rb gak masuk masuk udah 5hari saya nunggu mana itu saya bayar dengan spaylater jadi saya ad hutang di spaylater 😭 bantu kak gimana solusinya,1
sangat membantu terimakasih,5
Sudah bagus tapi kenapa dasbor affiliate nya tidak bisa diakses ya? tolong team IT di perbaiki supaya bisa aktif lagi para affiliator,5
"SAYA TIDAK PERNAH MELAKUKAN TRANSAKSI APAPUN DI APLIKASI INI, TETAPI DANA SAYA TIBA TIBA KE POTONG SENDIRI DAN LANGSUNG TER BAYAR KE APLIKASI BLIBLI INI TANPA KODE PIN. SUNGGUH SANGAT MERUGIKAN",1
blibli oke,5
"bagus sih, cuma pembeli seharusnya bisa milih expedisi sendiri. JNE di daerah Blitar itu prosesnya lama. Barang sudah sampai tapi Kurir ngirim paket ke pelanggan pasti di estimasi terakhir. J&T malah lebih bagus dari JNE",5
transaksi jadi lebih mudah,5
Good Job my bro... IM feel existing,5
mantappp,5
good,5
"Beberapa waktu lalu Beli barang, paket diantar ke alamat yang salah oleh kurir. Tidak ada kabar dan jalur informasi yang dapat memberikan keterangan dan penjelasan. Foto paket tidak jelas sehingga tidak tahu perusahaan kurir apa yg dipakai. Tapi syukur Alhamdulillah barang tidak hilang, dan sekitar 2 hari paket dinyatakan status terkirim, kurir menghubungi lewat pesan messenger. Semoga bisa diperbaiki lagi layanan komunikasi instan antar customer dengan penyedia layanan.",3
dibatalkan tiba tiba sudah payment sudah berhasil tp dibatalkan sepihak dgn alasan yg sangat konyol melewati waktu pembayaran klo lewat waktu ya gak bisa di bayar saat checkout langsung payment saat itu jg anneeeehhhhh,1
mantap ni aplikasi,5
asli nih,5
NYESEL PARAH PAKAI APLIKASI INI...RETUR PRODUK UDAH SEBULAN GA BERES PADAHAL BARANG SUDAH DITERIMA SELLER...DANA RETUR DARI TANGGAL 10 MARET SAMAPAI SEKARANG 16 APRIL BELUM KUNJUNG MASUK...STATUSNYA MASIH DIINVESTIGASI BLIBLI TERUS...,1
mantap app blibli,5
"blibli kenapa, koq rada susah log in",5
good,5
pastikan seller mempunyai stok barang,5
semoga amanah,5
baguss bermanfaat,5
daftarnya susah bngt lah woy !!!,2
mantap,5
👍👍,5
mantab,5
"saya retur barang pasta UI kacang hijau ganti dengan pasta pandan pewarna kue sesuai dengan barang yg saya perlukan saya disuruh menambah 29 rb, Go Pay saya otomatis terpotong namun barang tak pernah datang, system agak idiot seperti nya",2
"mantep banget ini aplikasi, menghabiskan uang jadi lebih mudah dan praktis.",5
baru pertama pakai blibli . semoga selalu baik bila ada keperluan selalu ada di sini. bermanfaat,5
bintang berbicara,5
aplikasi x bagus dan sangat membantu,5
sementara ringan dan tidak ada bug,5
"Refund doang aja ribet padahal mau ganti alamat doang lalu saya beli lagi, kenapa harus menunggu uang balik 5-10 hari",1
"reviewnya kebanyakan bintang 1 ,kalo bisa mah bintang negativ",1
refun y tolong dipercepat dong karna tagihan y muncul sedangkan refun y blom dikembalika itu gimana,1
"aplikasi ajing,ada keluhan pelanggan gk ada tanggepan, jgn blanja di blibli, tu bgt, paket saya tanggl 7 pesan estimasi tanggl 9_11 sampai tpi nyamp tanggl 14 gk sampai,, menta bantuan am cs gk ada tanggapan sama sekali... toko online penipu,,,",1
mudah dan cepat,5
bintang satu dulu karena barang blom datang,1
kecewa banget aplikasi blibli... refund dana masak nunggu 3-5 hari kerja.... beda sama aplikasi sebelah refund dana langsung masuk jadi bisa beli barang yang lainnya.... gini nunggu 3-5 hari lama bossss belum ntar kirimnya....duh...,1
mangttabbs bli2 tq,5
adminya asik jir,5
keren,5
"aplikasi oke,apa lagi dapet kurir ramah enak enak lah,cuma disini pelit banget GK gratis ongkir GK kek di toko Oren, di aplikasi ini gratis ongkir nya hanya 10rb-15rb ayo lah baik baik dikit☺️",4
ongkirnya gila.. 1⭐🌛 for you,1
"blibli masih sering error, difitur menu² yang tiba² tidak bisa tampil padahal sinyal jaringan bagus",3
"mau login susah banget.. di persulit .. gimana orang mau pake, login nya aja kayak gini susah",1
selalu jadi andalan blibli..,5
app belanja online,5
mau log in aja susah amat. kacau,1
lumayan manteplah,5
blibli keren pisan,5
"Sudah sangat bagus min aplikasinya ,sudah Upgrade,keren, kalau bisa tambahin fitur upload Video untuk para affiliator agar bisa upload Video Jualan min, biar affiliator ada wadah buat promosi produk dari bliblinya min, itu aja saran dari aku sih , ikuti perkembangan zaman ya min, sukses selalu",5
"tolong di perbaiki masalah keranjang Blibli nya. kalau kita skrol sudah jauh dan buka produk lalu kita kembali lagi bukanya kembali ke skrolan yg sudah jauh malah ke mbali ke awal produk keranjang yg pertama lagi,jadi kita capek sudah skrol jauh buka kembali ke awal keranjang awal lagi itu yg perlu di benahi kk",5
"Hati2 olshop ini mulai bermain dengan modus menawarkan harga diskon gila-gilaan, lantas secara sepihak membatalkan transaksi. Tujuannya jelas menahan dana customer di bliblipay. Endingnya, penarikan dana ke rekening yg kita minta tak kunjung berhasil. WASPADALAH! RIP blibli, maaf saya harus jujur soal ini.",1
sangat mudah dan membantu sekali,5
sampah banget nih aplikasi ... mau balikin duit ke rekening pribadi aja lama banget ampe 2 hari lebih . namanya doang produk ori ... kaga jamin kemudahan,2
good,5
oke,5
"mengapa aplikasi saya gk bisa dibuka,...??? ada penjelasan klo ada aktifitas yg mencurigakan,...maksud nya gmn ini ????",2
ada limit tapi tidak bisa di gunakan,2
murah murah di sini,5
satu bintang aja Karena tidak bisa menampilkan yg di cari terpaksa saya uninstall lagi 🙏🏻,1
"belanja termurah, jualan pun tidak boncos",5
ini gimana maksudnya blibli. ngasih voucher janjinya aktif hingga 1 januari 2027 tapi keesokan harinya hangus kambing,2
cs lu berapa sih? mau komplain kok nunggu 2 jam antrean nggak kelar kelar,1
"Biaya2 nya terlalu banyak, isi Token 50rb jadi 53.900, padahal udah pakai vocher 1.000 gilaa",4
mantab smooth simple,4
"sumpahh ga lagi dah beli barang online lewat sini.. pengiriman lama sampe seminggu padahal jarak dari pengirim ke rumah saya dari jakarta ke depok, di keterangan cuma ada tulisan ""maaf ya pesanan mulai telat kamu akan mendapatkan voucher 100.000 setelah pesanan tiba"" apaan tuh semudah itu ngasih solusinya padahal barangnya lagi cepet² di butuhin.. JANGAN ADA YG INSTAL KALIAN BAKAL NYESEL",1
Mantabzz,5
mantap,5
aplikasi paling buruk tidak bisa dibuka susah masuk,1
"baru jualan langsung di nonaktifkan, dengan indikasi pelanggaran dll karna ada kesamaan nama, mana lemot pengurusannya. lagi butuh"" nya malah digiinin sma pihak nyaa hadehh tidak speerti akun di olshop lain yg malah mempermudah",1
"retur sampe 6x pun tetap di kasih barang yang sama jelek, mantap blibli chat cs berkali"" tetap ya gitu lah malah gk ada empati",1
"min, bisa cari tau ngga? saldo didana aku ditarik orang pakai akun blibli",1
"mudah dn tdk ribet sprt aplikasi lainya,,,terima kasih,,,mohon untuk selanjutnya jgan yg mahal""ya mbk klu bisa 😁",4
belanja satsett pake Blibli 🥰,4
okee siip,5
mantab,5
"okee terimakasih sudah selesaikan permasalahan saya ,sorry sempat marah2 dan kasih 🌟1 karna klo ngga kaya gtu gabakal dibantu gw😑",5
amanah,5
aplikasi online shop terbaik yang pernah aku pakai,5
murah shoope sama lazada,1
"udh di kirim pake email,wa di aplikasi nya di chat kaga ada balasan",2
mantab lah🥰,5
aplikasi makin gajelas beli produk dengan harga yg ga murah pake instant udh mau seminggu dari tgl 2 belum sampe sampe. dichat di aplikasi nunggu 52 antrean. giliran chat di WA sistem sibuk disuruh ke aplikasi. di chat ke pusat resolusi bilangnya dari tgl 4 2x 24 jam klo gada konfirmasi auto di refund. tapi sampe skrg gada kejelasan,1
blibli care nya lemot nya mnt ampun ditmbh logistic yg TDK profesional sangat mengecewakan,1
okeh banget,5
gajelas tiba2 paylater saya langsung diblokir,1
Keren blibli saat belanja biaya penanganan murah hanya Rp 1.000,5
"udah nunggu lama buat chat live eh di chat live pun agen nya gak jelas suruh nunggu lama juga, gimana sih udah beberapa kali lo kayak gini heran banget dah",1
Harganya di luar nurul bikin tensi naik,1
"Saya co item di tgl 5/4/26 dengan keterangan di awal estimasi diterima tanggal 6-9 Apr 2026. Item tersebut memang maks harus saya terima tanggal 10, karena 11 Apr sudah hrs dipakai. Setelah co, keterangan berubah maks penerimaan item tanggal 11 Apr dan baru nampak kalau toko pada tanggal 5 libur. Saya chat toko besoknya tdk dibalas padahal toko online terus. Sya chat blibicare tpi katanya pembatalan tdk bisa dilakukan krn tergolong normal. Dan skrg app error karna ada aktifitas tdk normal wkwk",1
"barang"" nya ORI semua",5
"pas dengan suara notif langsung uninstall, ganggu bener mending Shopee",1
Rekomendasi,5
sangat memuaskan belanja di Blibli,5
sudah sering transaksi di blibli terutama hypermart tp banyak brg yg tdk dikirim. pas proses refund tdk di respon dan blibli nya sendiri di chat nunggu antrian lama bgt dan ujung2nya gk terlayani. proses refundnya sangat lama dan ribet pdhl sudah mengikuti step2nya. seller bener2 untung banyak dari barang yg tdk terkirim karena brg sudah dibayar dlu. mau ikhlas tapi cukup belanja disini. tdk seperti market place lainnya yg gercep bgt. kecewa berat belanja disini.,1
pokoknya oke dan mantap,5
"keren, barang nya ORI semua mantapp..",5
luar biasa blibli,5
very good,5
"ONGKIR KE SUMATERA 100 RIBUAN 🙄, padahal harga barangnya murah2 banget pake voucher. pas liat ongkirnya ya ampunn... pantes aja pada lebih milih toko oren/tt shop, soalnya gratis ongkir. semoga Blibli kedepannya bisa bikin gratis ongkir ya di luar pulau Jawa😊🙏🏻",1
respon cepat mantap betul,5
"saya mau bayar pakai qris tapi ga bisa ganti lah ke va dan transaksi berhasil, tapi ternyata pesanan dibatalkan laporlah ke cs awalnya bilang dana ga masuk ke blibli saya sudah tanya bank lalu diberi bukti uang sudah masuk, lalu alasan lagi nominal tidak sesuai nomor pesanan katanya uang saya masuk ke pesanan akun lain pdahal saya ga punya akun lain di tanya akun siapa alasan privasi, KALO EMANG GAMAU BALIKIN UANG NYA BILANG GA USAH MUTER"" MINTA BUKTI INI ITU!",1
"Aplikasi bodo, gak bisa apapun, bisanya susahin pelanggan",1
mantap,5
bagus,5
"PENGIRIMAN LAMAA, LAMBAT.",1
cukup,4
pengiriman lama bnget 7 hari belom sampe waww,1
Lanjutkan!!,5
pasti lancar teruss,3
the beast pokonya,5
"Bagus, semoga semakin banyak diskon",5
good,5
Good,5
good,5
Promo bliblistore tuker gratis hp samsung s25 ultra dgn s26 ultra di Grand Indonesia chaos karena infonya kuota sudah habis di hari ke 3. padahal promo sampai tgl 5 april. bilangnya di awal dpt kuota 40 per hari. termyata dihabiskan semua dalam 2 hari. parah banget ini mah...!!!,1
"SUMPAH DIKIT2 HUBUNGIN CUSTOMER CARE, MAU KOMUNIKASI KE KURIR AJA GABISA, HARUS KOMUNIKASI 3 ARAH. PESEN KULKAS PAKE EXPRESS ESTIMASI 2 HARI TAPI UDH LEBIH DARI ESTIMASI BELUM SAMPAI JUGA, GAADA SOLUSI CUMA DI SURUH CHAT CS GITU TERUS!!!!!",1
Ok,5
"best ever, aplikasi nya ringan gak kaya yang oren berat karena banyak add on yg gak jelas.",5
mntap,5
proses cepat pembayaran mudah.. pokoknya mantap,5
sudah males belanja di blibli tidak lengkap sekarang,1
mana sekali,5
mudah banget belanja disini palai cc. thanks blibli.,5
keren aplikasi y,5
"mudah, tapi produk dijual masih kurang lengkap. banyak yang mesti dilengkapi produk-produknya.",4
Top,5
👍,5
semoga barang cepat sampe,3
"easy use praktis dan barang dijamin original , mantaaaaap",5
ok,5
mantul,5
refund lama.,1
"buruk. pelayanan terburuk. bliblicare hanya membalas ""minta maaf"" lalu chat tidak dibalas. barang tidak terkirim² dan tidak bisa di canceled juga dan tidak di refund. saya hanya memesan susu bayi 3 dus",1
"baru mau coba, tapi proses nya cepat ya☺️",5
aku suka,5
semangat BliBli,5
tidak bisa bayar di tempat,5
keren dan no tipu tipu,5
produknya tdk pernah mengecewakan,5
solusi untuk beli barang secara online terbaik dan ori mantap pokoknya,5
mudah dan responsif,5
keren,5
refund ga masuk2 !!,1
good,4
semoga terpercaya,5
"entah,apa yang terjadi",5
"tadinya bintang 2 saya turunkan lagi, first experience belanja di aplikasi ini aja kayanya udah ga bagus wew kiriman dari bekasi ke depok estimasi hampir seminggu, aplikasi sebelah aja luar pulau bisa 3 hari yang mau belanja disini mending pikir2 lagi, harga ga beda sama offline",1
masih bingung byk bgt operator penggunaannya,4
ok,5
"barang nya kadang kurang lengkap, tapi untuk harganya murah murah, walaupun banyak produk original nya tapi karna ini original pastinya stok nya tinggal sedikit atau enggak, habis",5
notif spam,1
"jelek banget pelayanan blibli care nya, saya mau retur produk krn kekecilan, eh disuruh bayar selisih harga 2x nya, alasannya krn saya beli pas diskon trs waktu diretur udah gak diskon. habis itu dana nggak bisa dicairin masuknya ke cashback, jauh bgt sama toko oren yg gercep.",1
mantap,5
"Transaksi mudah dan lancar tak pernah ada gendala, app ini mantap betul.",5
semoga bisa good service 👍,5
"aplikasi lemot, refound dana GK dibalik2in",1
sangat bagus respon cpt,5
oke sippp jos,5
Smoga bisa meninggalkan Blibli dgn tenang..!!!,1
Mantabbb,5
"saya ingin membatalkan pesanan malah gagal dengan tulisan ""ada gangguan di sistem kami"" ini mah sama aja sekali Check out gak bisa di batalin",1
"Susah banget cari produk yang bisa kirim COD, di Filter pencarian juga ngak ada.",1
Ok bgt,5
"yaa Allah tolong kembalikan saldo dana saya sebesar 150ribu yang termakan oleh pihak Blibli,tolong kembalikan saldo dana saya🙏🏻",1
mantap betul...,5
keren,5
"lah ini kenapa baru balik lagi instal kok nggak bisa login pakek akun lama ? pesan pop-up : maaf, telah terjadi kesahan, Silahkan coba kembali button > ok",3
"ga jelas banget padahal peta lokasi udah sesuai, tetap aja ga terdaftar gimana sih ini apk??? semua apk terdaftar dgn jelas auto hapus deh 👎👎👎👎👎",1
mantul (mantap betul),5
mantap,5
mantaf,5
item barangnya sedikit...,3
Blibli buat belanja makin seru,5
"payah tidak bisa membatalkan pesanan, padahal masih di proses,, chat agen tidak ada solusi,, jawaban muter² kaya obat nyamuk 🤦",1
apk sangat amanah sepanjang penfalaman saya,5
bli bli is the best,5
oke,5
mantap,5
"lama customer servicenya,mau pedangang sm dari aplikasinya bikin kecewa harus nunggu lama,ga kaya olshop yg lain,chat pedagang sama chat customer servicenya cepet di balasnya",1
Pembelian produk bagus dengan berbagai pilihan pembayaran.,5
Bagus,5
good,5
tidak rekomendasi untuk di install,1
mantap apk nya,5
Barang Ori ...joss pokonya Blibli,5
"hmmm sistem keamanan nya terlalu galak, bahkan akun ku dicurigai gara2 lupa matiin vpn cloudflare. padahal mau daftar ehh malah gak bisa pas dimatiin VPN nya malah di blok sementara haduhh 😌 ya udah deh bintang 3 aja dulu benerin lagi tuh sistem keamanannya terlalu galak banget",3
"kasih 4 bintang dulu, ku tunggu kalau pesanan datang dengan kualitas utuh (bagus).",4
"Refund dana 1-3 hari kerja, tapi ga di refund sesuai estimasi. Sudah laporkan ke email customer care, ga ada gunanya. Jawaban standar dan janji kosong. Sudah ga akan belanja lagi. Kapok terlalu banyak masalah terutama pengiriman",1
keren,5
😉,5
lebih mudah.... mantap 👍🏻👍🏻👍🏻👍🏻👍🏻,5
Oke mantapnya....,5
"aplikasi paling payah yang pernah saya coba, pelayanan buruk, berakali kali saya order dibatalkan oleh seller tanpa confim, saldo ketahan ga langsung direfund udah 2 Minggu blm balik, saldo refund keterangan sudah selesai tp belum diterima cs susah di hubungi bener bener apk menyusahkan, jangan coba coba deh belanja disini kalo gamau dibikin susah ujung ujungnya, dikata orang ga butuh duit nyepelein nahan saldo orang padahal yang cancel pihak seller bener bener kocak!",1
mantap,5
sangat mdh dan membantu,5
"tolong dirombak aja staffnya mau retur dikarenakan jumlah kurang buat mengunggah video aja GK bisa2 sudah dibelain buat ngedit karena dibatesi ukuran MB nya dan durasi,kalau mau maju pastikan pengguna aplikasi puas dan proses dibuat sesimple mungkin byk yang kecewa karena proses yg belibet semoga tersampaikan dan semoga bisa lebih baik kedepannya",2
makin lama makin buruk pelayanannya !!! bliblicare chat jam2 an antriannya !!! janji diberesin kapan. juga masih molor !!! jadi ga berani belanja sering dah di sini !!! barang murah (pk grab instan) aja 3 hari ga nyampek. masalah ga diberesin. apalagi yg mahal !!! pdhl saya customer diamond dilayani ky SAMPAH gini !!!!,2
nice,5
mantul 😁😁,5
Memiliki pengalaman yang buruk saat proses retur barang.. dikarenakan barang tidak sesuai expetasi/rusak. ** pengajuan dri tanggal 9 maret 2026..metode dijemput kurir Blibli..dijanjikan jemput paket ditanggal 10 maret.. Tapi.. sampai sekarang (15 maret 2026).paket belum dijemput juga.. *** balasan email pun hanya basa basi saja. **** telpon cs hanya habiskan pulsa saja. **** baru kali ini saya Sangat2 KECEWA.. bagaimana mau Saingan Shopee. 🙏🙏yang proses retur sehari juga kelar..,1
"aplikasi belanja Paling buruk , nyesel aku belanja pakai ini , logistiknya kacau gak ada nama gak ada nomer hp , pesanan tidak berhasil terkirim terus ,dan tidak bisa dibatalkan , menghubungi pihak toko gak mau bertanggung jawab,benar benar buruk",1
Bego Blibli Care nya,1
murah mantap,5
"semakin jarang belanja di blibli, krn semakin berkurang layanan yg diberikan, spt pembatalan belanja 3hr kerja uang kembali, produk yg dibeli ada gambar yg tdk sesuai gram kecil gambar besar, promo, dikirm produk sesuai keterangan produk.. pdhl bkn harga promo jika utk produk kecil.. parah ini pengecohan.. mencari kelengahan pembeli.. menghubungi customer care.. tdk ada solusi.. hanya standart.. sampai akhirnya menghubungi seller dan dibantu oleh seller.. lalu fungsi customer carenya.. apa coba.",1
lebaran 2026 paling parah pelayanan pengantaran sudah 1 minggu belum juga sampai,1
kecewa email promo dari blibli cuman scam,1
untuk aplikasi nya terasa agak lambat. alangkah baiknya bisa di perbaiki lagi. karna saya pengguna baru yg beralih dr ijo dan oren,4
bibli happy,4
"ongkir nya mahal sekali, dan berlipat dari hrg normal",2
💖💖💖💖,5
gausah kbanyakan ngiklan fi apk gjls..mending pengitiman fpercepat..yg skrg lmbt bgt,1
"costumer service nya jelek banget, nunggu antrian nya lama bnget, pelayanannya jelek banget lw urusan komplen ga seperi apk lain fast respon",2
"Mulai hari ini tanggal 12 maret 2026, saya sudah mengunistall apk tersebut.",2
sangat bagus,5
"pembayaran mudah, cuma jarang ada gratis ongkir & voucher diskon",5
"pelayanan tidak bagus, baru 1x order lansung kena batal karna toko ga dikirim sampe waktu yang di tentukan, skarang pengembalian dana aja dari tgl 7 maret sampe skarang 12 maret belom balik juga uang sana di saldo blibli nya, saran saya jangan belanja di sini pelayanan nya tidak bagus hubungi cs lewat chat aplikasi nya udah nunggu lama berjam-jam tinggal dikit lagi antrian nya tiba-tiba eror lansung kluar. lebih baik jangan belanja disini kalau ga mau ribet dan lama smua prosesnya disini.",1
kalau bisa blibli kasih fitur sembunyikan pesanan donk .. soal kita terkadang butuh privasi untuk pesanan pesanan tertentu .. makasih ..,4
sangat rekomendasi good job,5
sangat membantu,5
Mantabsss,5
lebih mudah dan terpercaya,4
mantaf n cepet,5
halo. kok saya ga bisa main blibli arcade ya? pdhl udh buat transaksi lebih dri 50rb di blibli,4
bagus,5
sangat suka blibil,5
keren banget banyak diskon nya ...,5
"kenapa pengembalian uang refund yg dibatalkan toko sangat lama,gk kayak toko sebelah proses sangat cepat",3
TERBAIK,5
"bagus app nya bisa tukar reward bca, pakai blibli",5
Barangnya ORI harga dikit lebih murah & byk promo,5
aplikasi penyedot dana,1
mantaffff,5
"cukup membantu saat membeli keperluan rumah tangga, apalagi saat hujan",5
"aplikasi jelek... tolong kembalikan uang saya!! saya sudah melakukan pesanan, tapi barang tidak pernah sampai. uang pun raib!!! saya sudah coba lakukan komplain, susah nya minta ampun. lewat email di arahkan ke chat wa bisnis, wa bisnis jawaban nya itu itu aja chat mesin. lewat aplikasi pun sama busuknya!! estimasi waktu sampai ratusan menit harus nunggu. para korban lain harus bikin laporan atas aplikasi kurang ajar ini!!",1
APLIKASI JELEK SCAM GA BERGUNA MESAN PAKET SUDAH 3 HARI MASIH PROSES DI CHAT SALLER DAN COSTUMER CARE NYA MALAH GANGGUAN SISTEM! GAUSH BELANJA DI APLIKASI INI MERUGIKAN . MANA PESANAN GABISA DI CANCEL SISTEM NYA JELEK LAGI!!!! APLIKASI BURUK UNTUK BELANJA!,1
Proses cepat dan mudah,5
mantap,5
Ayolah kapan bakar duit?...,5
"refund nya lama bgt, chat cs pun lama antri nya",1
"aplikasi tidak rekomend. kalo ada kendala chat CS sangat susah antrian bisa ampe 1000, proses refund dana aja lama. 😮‍💨",1
"Aplikasi marketplace terjelekkkkkkkk.....sangatttttt kecewaaaa barang flashsale selalu bohong.... pembatalan sepihak uang reffun sangat lama di kembalikan padahal yg batalin pihak pedagang.....belajar lagi dari tiktok,and shopee mereka sangat melindungi pembeli dan komplennya juga mudah .....sedangkan blibli care harus nungggu antrean yg hampir seribu selalu habis sesi waktunya......hahhhhhhh sangattttt mengecewakan!!!!!!",1
Tidak ada fitur pencarian produk yang sesuai dengan voucher diskon cashback jadi kesulitan menggunakan vouchernya . Dan pasti kena blokir kalo terlalu lama memilih produk yang sesuai dengan voucher diskon cashback.,2
"sudah belanja tapi poin tidak masuk, tidak ada pemberitahuan dari toko soal mekanisme poin,customer service hanya kasih jawaban template,tidak punya solusi,sudah merugikan customer. kapok beli di Blibli.",1
terlalu lama pegambalian dana saya beda dengan yang hitam atau yang Oren cepat kalo.soal.pemgambalian nyaa tolong secepatnya masa tunggu 5 hari atau 10hari,1
good mantap,5
klo dapet flash sale bakal dibatalkan sistem..uang direfund tp nunggu 2-3 hari,1
blibli emang keren,5
aplikasi ga jelas beli celana pakek paylater indodana baru juga daftar indodana langsung di block ga jelas,1
BUMDjarum apa yg diragukan,5
bagus byr jg BS pake cicilan,5
mantap lah blibli . top,5
"aplikasi nya bagus. tapi kurir nya pada buruk. paket gua di gelap kan jir. gak punya perasaan banget. dikira nyari duit gampang segampang metik daun,",5
susah bgt hubungin blibli care no antrian g masuk akal.,1
oce,5
senang menggunakan blibli,5
ok gan,5
very best,5
nice n goodjob tq,5
terbaik,5
blibli paylater tidak bisa digunakan,1
bagus banget,5
